;RowNum,LocalDate,LocalTime,{TS_Coater_Infeed_Nip_Spd_MPM},{TS_Coater_Infeed_Nip_Current_Fdbk},{TS_Laminator_Spd_Fdbk_MPM},{TS_Laminator_Current_Fdbk},{TS_LAM_Infeed_Nip_Spd_Fdbk_MPM},{TS_LAM_Infeed_Nip_Current_Fdbk},{SRC_Infeed_Nip_Spd_Fdbk_MPM},{SRC_Infeed_Nip_Current_Fdbk},{GEW_Chill_Roll_Spd_Fdbk_MPM},{GEW_Chill_Roll_Current_Fdbk},{PS_Infeed_Nip_Spd_Fdbk_MPM},{PS_Infeed_Nip_Current_Fdbk},{PS_Backup_Roll_Spd_Fdbk_MPM},{PS_Backup_Roll_Current_Fdbk},{PS_Laminator_Spd_Fdbk_MPM},{PS_Laminator_Current_Fdbk},{PS_Laminator_Path_Roll_Spd_Fdbk_MPM},{PS_Laminator_Path_Roll_Current_Fdbk},{Rewinder_1_Spd_Fdbk_MPM},{Rewinder_1_Current_Fdbk},{Rewinder_2_Spd_Fdbk_MPM},{Rewinder_2_Current_Fdbk},{Liner_UNW_1_Spd_Fdbk_MPM},{Liner_UNW_1_Current_Fdbk},{Liner_UNW_2_Spd_Fdbk_MPM},{Liner_UNW_2_Current_Fdbk},{PSZ1A_IND_TEMP},{PSZ1B_CTRL_TEMP},{PSZ1C_IND_TEMP},{PSZ2A_IND_TEMP},{PSZ2B_CTRL_TEMP},{PSZ2C_IND_TEMP},{PSZ3A_IND_TEMP},{PSZ3B_CTRL_TEMP},{PSZ3C_IND_TEMP},{PSZ4A_CTRL_TEMP},{PSZ4B_IND_TEMP},{TSZ1A_CTRL_TEMP},{TSZ1B_IND_TEMP},{TSZ2A_CTRL_TEMP},{TSZ2B_IND_TEMP},{TSZ3A_CTRL_TEMP},{SRCZ1A_CTRL_TEMP},{SRCZ1B_IND_TEMP},{TS_Coater_Infeed_Nip_Tension_Fdbk},{TS_Pull_Roll_Tension_Fdbk},{TS_LAM_Infeed_Nip_Tension_Fdbk},{TS_Laminator_Tension_Fdbk},{SRC_Infeed_Nip_Tension_Fdbk},{SRC_Coater_Pull_Roll_Tension_Fdbk},{PS_Infeed_Nip_Tension_Fdbk},{PS_Die_Coater_Pull_Roll_Tension_Fdbk},{Rewinder_Tension_Fdbk},{Liner_UNW_Tension_Fdbk},{Accumulator_Inlet_Tension_Fdbk},{Accumulator_Roll_Up_Down_DcrFdbkPct},{TS_Coater_Grvr_Roll_Spd_Fdbk_MPM},{TS_Coater_Grvr_Roll_Current_Fdbk},{TS_Pull_Roll_Spd_Fdbk_MPM},{TS_Pull_Roll_Current_Fdbk},{SRC_Coater_Pull_Roll_Spd_Fdbk_MPM},{SRC_Coater_Pull_Roll_Current_Fdbk},{SRC_Coater_Grvr_Roll_Spd_Fdbk_MPM},{TS_Coater_Grvr_Roll_Current_Fdbk},{PS_Die_Coater_Pull_Roll_Spd_Fdbk_MPM},{PS_Die_Coater_Pull_Roll_Current_Fdbk},{Accumulator_Inlet_Spd_Fdbk_MPM},{Accumulator_Inlet_Current_Fdbk},{Accumulator_Outlet_Spd_Fdbk_MPM},{Accumulator_Outlet_Current_Fdbk},{Accumulator_Roll_Up_Down_Spd_Fdbk_MPM},{Accumulator_Roll_Up_Down_Current_Fdbk},{SRC_Coater_Humidity},{SRC_Coater_Temp},{TS_COATER_HUMIDITY},{TS_COATER_TEMP},{[ILine]PS_Coater_LEL_Ind},{[ILine]TS_Coater_LEL_Ind},{Actual_Length},{Line_Speed_mpm},{LUW1_Actual_Length_Mtr},{LUW2_Actual_Length_Mtr},{REW1_Actual_Length_Mtr},{REW2_Actual_Length_Mtr},{CUW1_Actual_Length_Mtr},{CUW2_Actual_Length_Mtr},{MUW1_Actual_Length_Mtr},{MUW2_Actual_Length_Mtr},{UV_Room_Temp},{UV_Chiller_IL_Temp},{UV_Chiller_OL_Temp},{UV_Lamp1_Intensity},{UV_Lamp2_Intensity},{UV_Lamp1_Temp},{UV_Lamp2_Temp},{UV_Lamp1_vtg},{UV_Lamp2_vtg},{UV_Lamp1_Current_Amp},{UV_Lamp2_Current_Amp},{UV_Sply_Blr_IL_Air_Temp},{UV_Lamp1_Sply_blr_spd_HZ},{UV_Lamp1_Exhaust_blr_spd_HZ},{UV_Lamp2_Sply_blr_spd_HZ},{UV_Lamp2_Exhaust_blr_spd_HZ},{ROLL_NUMBERS}
4308,05/14/2025,00:00:29,17.945,4.211,17.843,7.504,17.898,4.094,17.69,3.905,17.242,4.011,17.872,4.142,18.021,4,18.006,5.273,17.946,3.993,16.434,4.54,0,0,18.777,4.337,0,0,83.8,85.5,86.4,109.7,109.4,109.1,106.8,109.9,106.3,110,108.9,45.1,47.9,115.1,120.1,110.3,35.9,39,26.956,25.715,63.412,39.973,39.714,0.505,39.865,38.98,14.468,21.158,0.001,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.153,25.019,29.673,37.873,0.213,0,2517.334,18,7861.128,6942.451,7908.7,6856.037,9515.284,5254.028,9897.703,4894.98,23.9,22,20,85.016,79.888,86,89,2278.509,2278.046,11.94,11.292,23,55,55,50,50,25ESXI0121
4309,05/14/2025,00:01:29,17.992,4.229,17.805,7.447,17.835,4.069,17.688,3.907,17.255,3.993,17.902,4.144,18.031,4,18.013,5.287,17.972,3.992,16.605,4.549,0,0,18.756,4.331,0,0,83.8,85.5,86.4,109.3,109,108.8,106.8,109.7,106.3,109.8,108.8,45.2,47.8,115.1,120.1,111.4,35.9,39,27.023,25.438,62.764,39.973,39.781,0.3,40.155,39.168,13.788,21.71,0,7.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.218,25,29.64,37.902,0.064,0,2535.481,18,7879.275,6942.451,7926.848,6856.037,9533.432,5254.028,9915.852,4894.98,23.9,21,19,84.997,79.888,86,89,2278.509,2278.046,11.937,11.292,23,55,55,50,50,25ESXI0121
4310,05/14/2025,00:02:29,18.055,4.257,17.897,7.396,17.856,4.083,17.704,3.912,17.268,4.008,17.887,4.146,18.031,4,17.999,5.284,17.949,4,16.705,4.524,0,0,18.758,4.33,0,0,83.8,85.5,86.4,109,108.6,108.6,106.6,109.5,106.2,109.7,108.6,45.1,47.8,115.1,120.1,112.4,35.9,39,27.729,24.625,63.126,40.406,39.599,0.442,39.959,38.901,14.566,21.872,0.002,7.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.218,24.98,29.608,37.844,0.122,0,2553.573,18,7897.367,6942.451,7944.939,6856.037,9551.523,5254.028,9933.942,4894.98,23.9,21,19,84.891,79.882,86,90,2275.729,2278.509,11.937,11.289,23,55,55,50,50,25ESXI0121
4311,05/14/2025,00:03:29,17.996,4.217,17.877,7.181,17.82,4.083,17.707,3.9,17.252,4.024,17.903,4.154,18.034,4,18.024,5.245,17.977,3.995,16.687,4.541,0,0,18.871,4.332,0,0,83.8,85.5,86.4,108.6,108.3,108.3,106.5,109.3,106,109.6,108.6,45.1,47.9,115,120.1,113.4,36,39,27.314,25.141,62.886,40.139,39.863,0.463,40.108,39.195,15.275,21.793,0,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.25,24.961,29.608,37.873,0,0,2571.683,18,7915.478,6942.451,7963.05,6856.037,9569.634,5254.028,9952.053,4894.98,23.9,21,19,85.016,79.866,85,89,2278.509,2278.046,11.94,11.289,23,55,55,50,50,25ESXI0121
4312,05/14/2025,00:04:29,17.923,4.206,17.927,7.244,17.845,4.073,17.716,3.914,17.246,3.988,17.907,4.165,18.031,4,18.002,5.305,17.952,3.997,16.531,4.541,0,0,18.802,4.326,0,0,83.8,85.6,86.4,108.2,108,108,106.3,109,105.9,109.5,108.5,45.1,47.9,115,120.1,114.3,35.9,38.9,26.756,25.064,63.251,40.387,40.436,0.426,39.862,38.903,14.402,22.507,0.004,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.185,24.98,29.575,37.815,0.213,0,2589.794,18,7933.588,6942.451,7981.161,6856.037,9587.744,5254.028,9970.164,4894.98,23.9,21,18,84.997,79.882,86,90,2278.509,2278.509,11.937,11.289,23,55,55,50,50,25ESXI0121
4313,05/14/2025,00:05:29,18.009,4.255,17.947,7.205,17.822,4.091,17.703,3.898,17.267,3.998,17.889,4.166,18.022,4,17.994,5.316,17.96,3.994,16.535,4.534,0,0,18.775,4.331,0,0,83.8,85.6,86.4,108,107.7,107.8,106.2,108.8,105.7,109.4,108.4,45.1,47.8,115,120.1,115.1,35.9,38.9,27.769,25.222,62.744,40.577,40.174,0.338,39.669,38.786,13.56,22.066,0.002,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.153,25.019,29.608,37.815,0.152,0,2607.942,18,7951.736,6942.451,7999.308,6856.037,9605.892,5254.028,9988.312,4894.98,23.8,21,18,84.981,79.882,87,89,2277.583,2278.509,11.94,11.289,23,55,55,50,50,25ESXI0121
4314,05/14/2025,00:06:29,17.97,4.208,17.955,7.231,17.859,4.069,17.728,3.914,17.277,4.017,17.897,4.171,18.028,4,18.012,5.261,17.992,3.989,16.542,4.542,0,0,18.987,4.324,0,0,83.8,85.5,86.4,107.7,107.4,107.5,106,108.6,105.5,109.3,108.3,45.1,47.8,115,120.1,116,35.9,38.9,26.582,24.029,62.957,40.342,40.706,0.423,39.846,39.149,14.926,21.72,0.002,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.121,25,29.546,37.902,0.152,0,2626.065,18,7969.859,6942.451,8017.432,6856.037,9624.015,5254.028,10006.435,4894.98,23.9,21,20,85.016,79.866,87,90,2278.509,2278.046,11.94,11.289,22.8,55,55,50,50,25ESXI0121
4315,05/14/2025,00:07:29,18.012,4.231,17.899,7.117,17.829,4.092,17.685,3.889,17.251,4.019,17.875,4.161,18.024,4,18.001,5.295,17.964,3.992,16.554,4.536,0,0,18.982,4.325,0,0,83.8,85.5,86.4,107.4,107.1,107.2,105.8,108.3,105.3,109.2,108.2,45.1,47.8,115,120.1,116.8,35.9,38.9,27.01,25.739,62.597,39.264,39.797,0.485,39.849,39.024,14.204,21.652,0.002,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.089,25,29.546,37.902,0,0,2644.175,18,7987.97,6942.451,8035.542,6856.037,9642.125,5254.028,10024.545,4894.98,23.8,21,20,85.016,79.882,86,90,2278.509,2278.509,11.94,11.289,22.9,55,55,50,50,25ESXI0121
4316,05/14/2025,00:08:29,17.94,4.22,17.925,7.343,17.918,4.085,17.738,3.917,17.265,3.999,17.897,4.165,18.029,4,18.033,5.249,17.969,3.986,16.643,4.545,0,0,18.871,4.325,0,0,83.7,85.5,86.4,107.1,106.8,107,105.6,107.9,105.1,109.1,108.1,45.1,47.8,115.1,120.1,117.4,36,38.9,26.957,25.376,63.421,40.219,40.451,0.395,39.723,39.269,13.902,21.34,0,7.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.218,25.039,29.546,37.902,0,0,2662.286,18,8006.08,6942.451,8053.652,6856.037,9660.236,5254.028,10042.655,4894.98,23.8,22,21,85,79.866,86,91,2278.046,2278.046,11.94,11.289,22.9,55,55,50,50,25ESXI0121
4317,05/14/2025,00:09:29,17.971,4.197,17.878,7.262,17.878,4.073,17.7,3.887,17.224,3.995,17.849,4.15,18.033,4.002,18.013,5.259,17.978,3.989,16.688,4.537,0,0,18.895,4.324,0,0,83.8,85.4,86.4,106.9,106.6,106.8,105.4,107.6,104.9,109,108,45.1,47.8,115.1,120.1,118,36,38.8,26.807,25.369,63.098,40.104,39.818,0.329,39.869,38.976,15.011,21.294,0,7.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.185,24.98,29.481,37.96,0.183,0,2680.409,18,8024.203,6942.451,8071.775,6856.037,9678.358,5254.028,10060.778,4894.98,23.9,22,21,85.016,79.866,87,90,2278.509,2278.046,11.94,11.289,22.8,55,55,50,50,25ESXI0121
